,Economy,value
0,Turkey,720101212394.114
1,Saudi Arabia,700117873249.269
2,Switzerland,747968636174.008
3,Netherlands,912242335119.069
4,Indonesia,1058423838345.14
5,Mexico,1076163316174.94
6,Spain,1281199091016.35
7,Brazil,1444733258971.65
8,Australia,1330900925056.98
9,Russia,1483497784867.6
10,South Korea,1630525005469.11
11,Canada,1643407977068.93
12,Italy,1886445268340.71
13,France,2603004395901.95
14,India,2622983732006.45
15,United Kingdom,2707743777173.91
16,Germany,3806060140124.52
17,Japan,
18,China,14722730697890.1
19,United States,20936600000000.0
