,Economy,value
0,Turkey,761425499358.159
1,Saudi Arabia,792966838161.659
2,Switzerland,703082435158.864
3,Netherlands,907050863145.097
4,Indonesia,1119190780752.8
5,Mexico,1268870527160.03
6,Spain,1393490524517.64
7,Brazil,1839758040765.62
8,Australia,1396567014733.23
9,Russia,1699876578871.35
10,South Korea,1646739219509.89
11,Canada,1736425629519.96
12,Italy,2003576145498.04
13,France,2715518274227.45
14,India,2868929415617.02
15,United Kingdom,2829108219165.8
16,Germany,3861123558039.21
17,Japan,5081769542379.77
18,China,14279937467431.0
19,United States,21433226000000.0
